Z(f=1000),Z(f=10000),Z(f=100),θ(f=100),θ(f=10000),θ(f=1000),Temperature,Concentration,R contact
11117.30288,4577.211859,56768.41521,-58.4542326,-18.33986263,-50.68567539,19.1,250,2928.796839
11648.83504,5414.877269,51039.62116,-57.50471653,-15.47450173,-46.90362186,18.8,250,3570.814646
11003.77409,4463.978909,51225.15757,-57.28998453,-18.65216372,-51.15701631,19.2,250,2828.944664
10638.64894,4093.120129,51495.74548,-58.7525752,-21.26868268,-52.71375181,19.5,250,2118.098979
7862.550509,4330.581038,36455.3515,-63.03669135,-11.60586664,-43.59580897,16.2,275,3150.586723
9812.122868,4761.993828,44235.36303,-57.26741256,-14.75220777,-46.03299082,16.4,275,3363.226307
9279.592714,4476.487612,41939.97131,-57.95330435,-14.56179878,-46.45969788,16.7,275,3113.254091
10467.02623,4977.06714,45111.34067,-53.89701068,-14.89087762,-45.8604003,16.7,275,3488.156424
9221.074187,4266.198051,37296.89359,-52.55084171,-15.7953496,-45.4803759,16.5,275,2838.634411
10259.79087,4494.125558,45883.68229,-55.51271961,-17.61256694,-48.88877583,16.1,275,2721.761335
7586.830392,3290.417213,34876.2134,-57.9596281,-17.40829733,-49.27079336,18.8,300,1963.132296
10138.41447,4182.17801,50462.27606,-59.73520369,-18.43480608,-51.4154401,19.3,300,2633.5952
9438.898823,4052.190089,49300.25184,-62.23306463,-17.05686832,-51.47716236,18.8,300,2625.664185
10718.8501,4762.508557,53420.32121,-60.37873867,-16.07590841,-50.20959552,18.6,300,3175.345238
9617.200084,4045.63367,49683.24912,-60.5326489,-17.59772865,-52.02257396,18.6,300,2547.134206
8125.098306,3478.542115,42071.81934,-62.65071183,-17.45179299,-51.515434,18.9,300,2090.814719
6159.897224,3298.643504,24879.8328,-56.53283248,-12.53091529,-41.7561801,17.2,325,2121.439892
7941.656621,3952.081663,32632.45972,-55.26100036,-14.58636248,-43.52575361,17.1,325,2561.061448
7403.647533,3841.200367,32388.40758,-58.41359726,-13.12921414,-43.76591564,16.9,325,2571.238825
8383.588317,4262.237869,35177.49641,-57.25370852,-13.43723654,-44.01915385,16.7,325,2842.225948
7124.10665,3642.73835,30657.82242,-58.10721503,-13.31911929,-44.19506647,16.9,325,2387.320057
6509.559515,3205.58563,26507.83289,-55.19267734,-14.04442573,-44.07566594,17.4,325,1963.563378
6104.552704,2752.370632,32609.42247,-68.23171327,-15.41988563,-50.67847603,18.7,350,1599.383505
8144.210022,3482.801851,43998.71909,-65.96657888,-17.43718738,-52.04500226,19,350,2106.209482
7885.192288,3239.914775,44411.0711,-63.6692257,-17.59361531,-54.79679602,18.4,350,1873.248959
8981.061894,3643.762251,48195.4126,-61.18118421,-17.37991621,-55.0933463,18.8,350,2186.602603
7450.251422,2779.800768,41078.24915,-60.98597751,-20.19150747,-56.12963243,18.4,350,1416.504072
5928.931864,2483.33322,31361.62572,-65.05003761,-17.65278328,-53.57769963,18.4,350,1226.968825
4431.738713,2336.54683,22392.61611,-66.62561867,-12.69234113,-45.76386655,17.1,375,1255.177308
6584.160711,3451.492265,33940.07469,-62.07438752,-13.08753862,-46.59810136,17.2,375,2087.418639
5696.470154,2945.663742,28724.51789,-62.74141197,-13.23391121,-46.33209002,17.3,375,1725.28392
6959.070441,3383.305127,32254.19919,-62.31961383,-14.88378392,-46.04535577,17.3,375,1949.765093
5815.008724,2707.409615,28588.03909,-60.92893916,-15.57787491,-48.51390946,17.2,375,1406.061671
4997.390723,2235.080785,26251.04415,-66.27081229,-16.06434981,-50.52952505,17.3,375,1099.743926
4752.906257,1658.726452,25399.79635,-64.11331447,-21.82168744,-56.12098678,19.4,400,502.9552462
5372.286598,1945.547239,28577.58551,-61.8947238,-21.20118514,-55.08944837,19.5,400,714.651789
6264.825519,2381.281411,33455.32358,-60.3065291,-19.45662259,-54.86663802,19.6,400,1105.968681
6822.515884,2479.155308,31006.45461,-60.94548438,-27.29304142,-50.40047997,20.2,400,669.4670175
3858.18223,1355.737957,24522.20289,-68.73174496,-21.91423869,-59.69572884,19.3,400,228.7521503
5590.279268,1647.967866,33797.27507,-68.62304451,-26.16550298,-62.45175922,18.8,400,389.4385609
